2026-02-02 21:25:52,181 INFO    MainThread:10214 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_setup.py:_flush():67] Configure stats pid to 10214
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_setup.py:_flush():67] Loading settings from /Users/akshayjacobthomas/.config/wandb/settings
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_setup.py:_flush():67] Loading settings from /Users/akshayjacobthomas/Documents/GitHub/DiffMicromehanics/TC_surrogate/wandb/settings
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_setup.py:_flush():67] Loading settings from environment variables
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/akshayjacobthomas/Documents/GitHub/DiffMicromehanics/TC_surrogate/wandb/run-20260202_212552-lgroimuy/logs/debug.log
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/akshayjacobthomas/Documents/GitHub/DiffMicromehanics/TC_surrogate/wandb/run-20260202_212552-lgroimuy/logs/debug-internal.log
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:init():761] calling init triggers
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:init():784] starting backend
2026-02-02 21:25:52,182 INFO    MainThread:10214 [wandb_init.py:init():788] sending inform_init request
2026-02-02 21:25:52,208 INFO    MainThread:10214 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2026-02-02 21:25:52,210 INFO    MainThread:10214 [wandb_init.py:init():803] backend started and connected
2026-02-02 21:25:52,213 INFO    MainThread:10214 [wandb_init.py:init():896] updated telemetry
2026-02-02 21:25:52,241 INFO    MainThread:10214 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2026-02-02 21:25:52,611 INFO    MainThread:10214 [wandb_init.py:init():995] starting run threads in backend
2026-02-02 21:25:52,720 INFO    MainThread:10214 [wandb_run.py:_console_start():2377] atexit reg
2026-02-02 21:25:52,721 INFO    MainThread:10214 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2026-02-02 21:25:52,721 INFO    MainThread:10214 [wandb_run.py:_redirect():2292] Wrapping output streams.
2026-02-02 21:25:52,721 INFO    MainThread:10214 [wandb_run.py:_redirect():2317] Redirects installed.
2026-02-02 21:25:52,723 INFO    MainThread:10214 [wandb_init.py:init():1037] run started, returning control to user process
